datasetNo,indexOfdf,Id,ColumnName,Original,Modified,ErrorType,Fixing
dataset1,2366,663.0,Section,Initmates,Intimates,Typographical Error,"Corrected ""Initmates"" to ""Intimates"""
dataset1,2368,186.0,Section,Initmates,Intimates,Typographical Error,"Corrected ""Initmates"" to ""Intimates"""
dataset1,2372,663.0,Section,Initmates,Intimates,Typographical Error,"Corrected ""Initmates"" to ""Intimates"""
dataset1,2419,176.0,Section,Initmates,Intimates,Typographical Error,"Corrected ""Initmates"" to ""Intimates"""
dataset1,2440,49.0,Section,Initmates,Intimates,Typographical Error,"Corrected ""Initmates"" to ""Intimates"""
dataset1,2447,213.0,Section,Initmates,Intimates,Typographical Error,"Corrected ""Initmates"" to ""Intimates"""
dataset1,2475,482.0,Section,Initmates,Intimates,Typographical Error,"Corrected ""Initmates"" to ""Intimates"""
dataset1,2487,761.0,Section,Initmates,Intimates,Typographical Error,"Corrected ""Initmates"" to ""Intimates"""
dataset1,2491,382.0,Section,Initmates,Intimates,Typographical Error,"Corrected ""Initmates"" to ""Intimates"""
dataset1,2521,81.0,Section,Initmates,Intimates,Typographical Error,"Corrected ""Initmates"" to ""Intimates"""
dataset1,2523,189.0,Section,Initmates,Intimates,Typographical Error,"Corrected ""Initmates"" to ""Intimates"""
dataset1,2530,416.0,Section,Initmates,Intimates,Typographical Error,"Corrected ""Initmates"" to ""Intimates"""
dataset1,2609,179.0,Section,Initmates,Intimates,Typographical Error,"Corrected ""Initmates"" to ""Intimates"""
dataset1,2612,520.0,Section,Initmates,Intimates,Typographical Error,"Corrected ""Initmates"" to ""Intimates"""
dataset1,2645,487.0,Section,Initmates,Intimates,Typographical Error,"Corrected ""Initmates"" to ""Intimates"""
dataset1,2648,116.0,Section,Initmates,Intimates,Typographical Error,"Corrected ""Initmates"" to ""Intimates"""
dataset1,2659,797.0,Section,Initmates,Intimates,Typographical Error,"Corrected ""Initmates"" to ""Intimates"""
dataset1,2660,37.0,Section,Initmates,Intimates,Typographical Error,"Corrected ""Initmates"" to ""Intimates"""
dataset1,2661,760.0,Section,Initmates,Intimates,Typographical Error,"Corrected ""Initmates"" to ""Intimates"""
dataset1,2663,116.0,Section,Initmates,Intimates,Typographical Error,"Corrected ""Initmates"" to ""Intimates"""
dataset1,2696,724.0,Section,Initmates,Intimates,Typographical Error,"Corrected ""Initmates"" to ""Intimates"""
dataset1,2706,464.0,Section,Initmates,Intimates,Typographical Error,"Corrected ""Initmates"" to ""Intimates"""
dataset1,2709,497.0,Section,Initmates,Intimates,Typographical Error,"Corrected ""Initmates"" to ""Intimates"""
dataset1,2722,229.0,Section,Initmates,Intimates,Typographical Error,"Corrected ""Initmates"" to ""Intimates"""
dataset1,2770,378.0,Section,Initmates,Intimates,Typographical Error,"Corrected ""Initmates"" to ""Intimates"""
dataset1,2782,69.0,Section,Initmates,Intimates,Typographical Error,"Corrected ""Initmates"" to ""Intimates"""
dataset1,2793,503.0,Section,Initmates,Intimates,Typographical Error,"Corrected ""Initmates"" to ""Intimates"""
dataset1,2817,269.0,Section,Initmates,Intimates,Typographical Error,"Corrected ""Initmates"" to ""Intimates"""
dataset1,2829,155.0,Section,Initmates,Intimates,Typographical Error,"Corrected ""Initmates"" to ""Intimates"""
dataset1,2833,774.0,Section,Initmates,Intimates,Typographical Error,"Corrected ""Initmates"" to ""Intimates"""
dataset1,2910,381.0,Section,Initmates,Intimates,Typographical Error,"Corrected ""Initmates"" to ""Intimates"""
dataset1,2933,377.0,Section,Initmates,Intimates,Typographical Error,"Corrected ""Initmates"" to ""Intimates"""
dataset1,2953,395.0,Section,Initmates,Intimates,Typographical Error,"Corrected ""Initmates"" to ""Intimates"""
dataset1,2975,514.0,Section,Initmates,Intimates,Typographical Error,"Corrected ""Initmates"" to ""Intimates"""
dataset1,2979,742.0,Section,Initmates,Intimates,Typographical Error,"Corrected ""Initmates"" to ""Intimates"""
dataset1,2987,37.0,Section,Initmates,Intimates,Typographical Error,"Corrected ""Initmates"" to ""Intimates"""
dataset1,2998,422.0,Section,Initmates,Intimates,Typographical Error,"Corrected ""Initmates"" to ""Intimates"""
dataset1,3018,1154.0,Section,Initmates,Intimates,Typographical Error,"Corrected ""Initmates"" to ""Intimates"""
dataset1,3110,779.0,Section,Initmates,Intimates,Typographical Error,"Corrected ""Initmates"" to ""Intimates"""
dataset1,3125,1171.0,Section,Initmates,Intimates,Typographical Error,"Corrected ""Initmates"" to ""Intimates"""
dataset1,3132,240.0,Section,Initmates,Intimates,Typographical Error,"Corrected ""Initmates"" to ""Intimates"""
dataset1,3151,616.0,Section,Initmates,Intimates,Typographical Error,"Corrected ""Initmates"" to ""Intimates"""
dataset1,3198,780.0,Section,Initmates,Intimates,Typographical Error,"Corrected ""Initmates"" to ""Intimates"""
dataset1,3200,193.0,Section,Initmates,Intimates,Typographical Error,"Corrected ""Initmates"" to ""Intimates"""
dataset1,3209,686.0,Section,Initmates,Intimates,Typographical Error,"Corrected ""Initmates"" to ""Intimates"""
dataset1,3224,169.0,Section,Initmates,Intimates,Typographical Error,"Corrected ""Initmates"" to ""Intimates"""
dataset1,3228,642.0,Section,Initmates,Intimates,Typographical Error,"Corrected ""Initmates"" to ""Intimates"""
dataset1,3231,248.0,Section,Initmates,Intimates,Typographical Error,"Corrected ""Initmates"" to ""Intimates"""
dataset1,3232,329.0,Section,Initmates,Intimates,Typographical Error,"Corrected ""Initmates"" to ""Intimates"""
dataset1,3254,46.0,Section,Initmates,Intimates,Typographical Error,"Corrected ""Initmates"" to ""Intimates"""
dataset1,3257,242.0,Section,Initmates,Intimates,Typographical Error,"Corrected ""Initmates"" to ""Intimates"""
dataset1,3268,1159.0,Section,Initmates,Intimates,Typographical Error,"Corrected ""Initmates"" to ""Intimates"""
dataset1,3269,169.0,Section,Initmates,Intimates,Typographical Error,"Corrected ""Initmates"" to ""Intimates"""
dataset1,3291,763.0,Section,Initmates,Intimates,Typographical Error,"Corrected ""Initmates"" to ""Intimates"""
dataset1,3343,482.0,Section,Initmates,Intimates,Typographical Error,"Corrected ""Initmates"" to ""Intimates"""
dataset1,3349,719.0,Section,Initmates,Intimates,Typographical Error,"Corrected ""Initmates"" to ""Intimates"""
dataset1,3353,196.0,Section,Initmates,Intimates,Typographical Error,"Corrected ""Initmates"" to ""Intimates"""
dataset1,3366,99.0,Section,Initmates,Intimates,Typographical Error,"Corrected ""Initmates"" to ""Intimates"""
dataset1,3377,444.0,Section,Initmates,Intimates,Typographical Error,"Corrected ""Initmates"" to ""Intimates"""
dataset1,3388,390.0,Section,Initmates,Intimates,Typographical Error,"Corrected ""Initmates"" to ""Intimates"""
dataset1,3394,522.0,Section,Initmates,Intimates,Typographical Error,"Corrected ""Initmates"" to ""Intimates"""
dataset1,3400,736.0,Section,Initmates,Intimates,Typographical Error,"Corrected ""Initmates"" to ""Intimates"""
dataset1,3411,663.0,Section,Initmates,Intimates,Typographical Error,"Corrected ""Initmates"" to ""Intimates"""
dataset1,3413,470.0,Section,Initmates,Intimates,Typographical Error,"Corrected ""Initmates"" to ""Intimates"""
dataset1,3444,172.0,Section,Initmates,Intimates,Typographical Error,"Corrected ""Initmates"" to ""Intimates"""
dataset1,3445,123.0,Section,Initmates,Intimates,Typographical Error,"Corrected ""Initmates"" to ""Intimates"""
dataset1,3457,138.0,Section,Initmates,Intimates,Typographical Error,"Corrected ""Initmates"" to ""Intimates"""
dataset1,3490,198.0,Section,Initmates,Intimates,Typographical Error,"Corrected ""Initmates"" to ""Intimates"""
dataset1,3501,365.0,Section,Initmates,Intimates,Typographical Error,"Corrected ""Initmates"" to ""Intimates"""
dataset1,3503,222.0,Section,Initmates,Intimates,Typographical Error,"Corrected ""Initmates"" to ""Intimates"""
dataset1,3530,600.0,Section,Initmates,Intimates,Typographical Error,"Corrected ""Initmates"" to ""Intimates"""
dataset1,3536,368.0,Section,Initmates,Intimates,Typographical Error,"Corrected ""Initmates"" to ""Intimates"""
dataset1,3550,381.0,Section,Initmates,Intimates,Typographical Error,"Corrected ""Initmates"" to ""Intimates"""
dataset1,3559,461.0,Section,Initmates,Intimates,Typographical Error,"Corrected ""Initmates"" to ""Intimates"""
dataset1,3567,123.0,Section,Initmates,Intimates,Typographical Error,"Corrected ""Initmates"" to ""Intimates"""
dataset1,3580,89.0,Section,Initmates,Intimates,Typographical Error,"Corrected ""Initmates"" to ""Intimates"""
dataset1,3613,656.0,Section,Initmates,Intimates,Typographical Error,"Corrected ""Initmates"" to ""Intimates"""
dataset1,3626,520.0,Section,Initmates,Intimates,Typographical Error,"Corrected ""Initmates"" to ""Intimates"""
dataset1,3634,157.0,Section,Initmates,Intimates,Typographical Error,"Corrected ""Initmates"" to ""Intimates"""
dataset1,3646,504.0,Section,Initmates,Intimates,Typographical Error,"Corrected ""Initmates"" to ""Intimates"""
dataset1,3651,650.0,Section,Initmates,Intimates,Typographical Error,"Corrected ""Initmates"" to ""Intimates"""
dataset1,3718,753.0,Section,Initmates,Intimates,Typographical Error,"Corrected ""Initmates"" to ""Intimates"""
dataset1,3741,215.0,Section,Initmates,Intimates,Typographical Error,"Corrected ""Initmates"" to ""Intimates"""
dataset1,3750,215.0,Section,Initmates,Intimates,Typographical Error,"Corrected ""Initmates"" to ""Intimates"""
dataset1,3755,288.0,Section,Initmates,Intimates,Typographical Error,"Corrected ""Initmates"" to ""Intimates"""
dataset1,3768,371.0,Section,Initmates,Intimates,Typographical Error,"Corrected ""Initmates"" to ""Intimates"""
dataset1,3773,104.0,Section,Initmates,Intimates,Typographical Error,"Corrected ""Initmates"" to ""Intimates"""
dataset1,3818,1162.0,Section,Initmates,Intimates,Typographical Error,"Corrected ""Initmates"" to ""Intimates"""
dataset1,3843,280.0,Section,Initmates,Intimates,Typographical Error,"Corrected ""Initmates"" to ""Intimates"""
dataset1,3862,744.0,Section,Initmates,Intimates,Typographical Error,"Corrected ""Initmates"" to ""Intimates"""
dataset1,3871,156.0,Section,Initmates,Intimates,Typographical Error,"Corrected ""Initmates"" to ""Intimates"""
dataset1,3918,377.0,Section,Initmates,Intimates,Typographical Error,"Corrected ""Initmates"" to ""Intimates"""
dataset1,3919,48.0,Section,Initmates,Intimates,Typographical Error,"Corrected ""Initmates"" to ""Intimates"""
dataset1,3950,501.0,Section,Initmates,Intimates,Typographical Error,"Corrected ""Initmates"" to ""Intimates"""
dataset1,3952,381.0,Section,Initmates,Intimates,Typographical Error,"Corrected ""Initmates"" to ""Intimates"""
